Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4ey7_refine_CHEMBL542467,-6.0,0.0,0.0
4ey7_refine_CHEMBL542467,-5.9,5.646,2.171
4ey7_refine_CHEMBL542467,-5.8,5.259,2.019
4ey7_refine_CHEMBL542467,-5.8,6.273,2.019
4ey7_refine_CHEMBL542467,-5.7,4.577,2.387
4ey7_refine_CHEMBL542467,-5.7,4.913,2.227
4ey7_refine_CHEMBL542467,-5.6,6.027,2.01
4ey7_refine_CHEMBL542467,-5.6,4.91,2.299
4ey7_refine_CHEMBL542467,-5.6,5.556,2.563
4ey7_refine_CHEMBL2011499,-6.7,0.0,0.0
4ey7_refine_CHEMBL2011499,-6.6,3.052,1.252
4ey7_refine_CHEMBL2011499,-6.6,6.975,3.619
4ey7_refine_CHEMBL2011499,-6.4,6.782,2.885
4ey7_refine_CHEMBL2011499,-6.3,3.197,2.304
4ey7_refine_CHEMBL2011499,-6.1,26.913,24.808
4ey7_refine_CHEMBL2011499,-5.8,6.847,3.629
4ey7_refine_CHEMBL2011499,-5.8,7.628,5.204
4ey7_refine_CHEMBL2011499,-5.6,6.857,4.239
4ey7_refine_CHEMBL190528,-6.6,0.0,0.0
4ey7_refine_CHEMBL190528,-6.3,3.723,2.086
4ey7_refine_CHEMBL190528,-6.3,3.913,1.806
4ey7_refine_CHEMBL190528,-6.3,3.146,1.701
4ey7_refine_CHEMBL190528,-6.3,7.682,1.909
4ey7_refine_CHEMBL190528,-6.2,3.59,1.911
4ey7_refine_CHEMBL190528,-6.2,3.951,2.088
4ey7_refine_CHEMBL190528,-6.2,2.546,1.806
4ey7_refine_CHEMBL190528,-6.2,7.313,2.562
4ey7_refine_CHEMBL206093,-7.6,0.0,0.0
4ey7_refine_CHEMBL206093,-7.4,6.383,2.698
4ey7_refine_CHEMBL206093,-7.0,7.151,2.354
4ey7_refine_CHEMBL206093,-6.5,7.009,2.966
4ey7_refine_CHEMBL206093,-6.5,25.111,22.965
4ey7_refine_CHEMBL206093,-6.4,7.043,2.357
4ey7_refine_CHEMBL206093,-6.2,25.229,22.751
4ey7_refine_CHEMBL206093,-6.2,24.411,22.202
4ey7_refine_CHEMBL206093,-6.0,24.861,22.54
4ey7_refine_CHEMBL205940,-8.8,0.0,0.0
4ey7_refine_CHEMBL205940,-8.1,2.472,1.924
4ey7_refine_CHEMBL205940,-6.8,13.815,12.181
4ey7_refine_CHEMBL205940,-6.4,13.824,12.283
4ey7_refine_CHEMBL205940,-6.3,13.056,11.811
4ey7_refine_CHEMBL205940,-6.0,14.064,12.446
4ey7_refine_CHEMBL205940,-6.0,13.103,12.099
4ey7_refine_CHEMBL5396497,-6.4,0.0,0.0
4ey7_refine_CHEMBL5396497,-6.3,5.604,1.988
4ey7_refine_CHEMBL5396497,-6.1,5.409,1.86
4ey7_refine_CHEMBL5396497,-6.0,7.301,2.186
4ey7_refine_CHEMBL5396497,-5.8,5.451,1.939
